,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
ground allspice,139,57,2,28,12,20,9,61,6,4,11,1,142,21,10,2,12,10,1,7,17,15,12,21,15,6,24,21,0,3,6,1,11,6,7,11,5,15,8,27,6,6,4,1,21,10,15,0,155,19,4,2,11,4,9,8,31,5,1,1,8,1,4,3,1,13,6,4,14,2,4,11,1,45,8,2,7,4,7,41,7,3,5,5,7,4,6,6,1,2,12,5,21,1,0,1,2,10,4,6,12,5,5,3,2,19,6,10,2,5,0,0,24,1,3,14,9,14,12,1,8,7,2,6,0,4,1,3,8,3,5,2,1,2,1,3,3,6,4,7,2,6,1,9,9,1,3,2,1,15,2,1,7,9,2,3,2,2,4,3,0,7,0,1,10,2,2,0,4,2,2,1,3,0,0,5,3,2,3,2,6,11,0,2,4,2,0,0,0,4,9,1,12,2,7,7,3,15,4,0,5,1,3,10,2,3,5,0,3,7,2,2,2,3,7,4,4,0,0,1,2,1,6,0,2,10,2,2,8,6,10,1,8,6,10,6,6,15,2,3,0,2,0,4,1,6,3,0,3,1,1,1,0,5,1,0,1,1,1,0,0,1,4,3,0,2,16,7,4,6,1,0,5,0,0,4,2,7,4,0,1,11,1,5,3,0,0,6,1,2,2,4,0,3,4,3,7,1,4,7,2,5,1,2,1,4,21,3,3,4,2,0,5,20,0,9,4,1,1,2,1,8,0,0,5,2,0,4,2,1,1,1,1,1,2,1,0,2,0,12,0,7,5,2,0,9,1,0,1,1,1,10,0,4,2,1,2,1,2,0,1,30,2,2,2,2,4,0,0,2,2,6,0,1,1,4,4,1,6,1,1,4,0,0,1,1,2,2,0,0,1,1,0,0,4,1,1,1,0,1
vodka,0,2,10,3,19,1,0,0,0,1,6,0,3,4,3,0,0,0,0,18,0,9,0,22,5,1,6,2,1,1,3,0,3,2,9,0,3,7,7,2,2,0,7,0,1,1,4,0,0,0,0,2,1,1,13,0,3,0,0,8,0,7,9,0,0,0,8,0,12,0,0,0,0,1,0,0,2,1,0,1,2,0,0,1,0,12,8,0,103,1,0,0,7,2,0,9,8,0,0,3,0,1,2,2,0,0,3,3,0,0,2,0,0,0,1,2,4,0,1,1,1,1,1,11,1,2,0,0,4,0,0,15,0,0,5,2,1,6,0,0,0,0,0,0,7,36,2,4,1,0,1,1,3,5,4,9,0,0,0,1,0,0,1,0,13,0,0,0,0,1,3,0,0,8,3,1,1,1,1,0,2,1,3,10,1,0,0,3,0,0,39,0,4,0,0,1,1,1,4,0,2,0,1,1,1,1,1,1,1,5,2,0,1,0,3,0,1,0,0,0,0,3,0,3,0,4,7,1,0,3,0,0,0,2,6,1,6,11,0,2,3,0,0,1,14,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,3,0,0,0,0,0,0,1,0,2,3,0,5,1,1,0,1,2,1,5,0,0,0,0,6,0,6,0,6,0,0,0,0,2,1,1,1,0,1,1,0,3,3,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,3,0,0,0,1,0,2,0,0,0,0,1,1,2,0,1,13,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,4,3,6,2,1,0,6,2,2,8,0,0,21,1,0,0,0,0,1
oranges,18,15,6,7,87,8,1,5,7,4,10,7,6,8,23,0,5,11,5,13,1,5,7,16,9,2,22,4,3,6,8,2,2,3,27,7,1,8,6,5,6,3,1,1,5,0,4,2,9,7,7,7,0,0,1,1,10,7,0,1,1,4,2,2,3,4,6,3,25,1,1,7,4,8,3,5,1,3,1,3,14,1,6,11,1,3,4,4,17,1,10,5,36,8,2,2,8,6,7,2,1,5,10,1,2,4,18,9,6,2,1,0,9,6,2,6,4,4,4,3,2,3,2,1,2,0,0,7,4,3,0,32,1,6,4,4,3,8,3,1,1,2,6,1,25,16,2,9,2,5,3,1,3,16,1,5,0,1,11,1,2,2,10,13,0,0,6,3,2,2,4,0,0,1,2,0,1,0,2,1,14,6,0,2,0,0,2,1,1,3,18,5,18,1,1,2,1,6,18,0,0,2,7,2,6,2,7,1,3,4,0,1,8,2,5,1,12,1,0,1,3,7,0,5,1,18,1,4,2,6,1,3,2,0,23,2,0,7,5,4,0,2,0,8,8,1,2,3,5,3,0,1,0,3,4,0,1,2,1,1,0,0,2,1,1,6,7,1,5,6,4,1,2,1,1,3,4,3,0,0,0,22,2,10,1,3,0,5,4,8,6,5,2,0,0,4,0,13,1,16,0,2,0,1,1,0,0,2,0,2,8,0,6,8,1,4,0,1,1,4,0,3,4,5,2,0,0,1,6,0,2,1,3,9,3,6,1,0,0,1,4,2,2,2,5,0,1,2,1,1,5,0,3,3,0,3,2,4,1,0,1,2,1,3,0,2,0,0,5,3,4,3,0,0,1,1,0,1,2,0,1,8,3,3,0,5,0,0,0,2,0,2,1,1,2,1,0,3,1,1
bread flour,7,10,3,0,2,3,6,4,0,2,2,4,5,1,13,4,12,1,2,4,111,2,0,0,4,14,2,5,25,2,4,0,3,0,2,3,5,9,2,2,0,0,1,5,1,8,2,0,5,11,0,4,3,137,0,2,3,5,0,1,3,2,1,0,5,8,0,5,0,8,0,2,14,9,2,1,3,0,3,21,0,2,7,4,1,2,3,14,0,0,0,56,6,2,0,1,0,4,1,5,0,0,1,14,1,1,2,3,0,0,2,1,1,0,3,0,2,5,8,1,0,1,0,0,2,0,1,0,4,33,0,0,0,4,1,1,0,2,0,0,0,0,0,0,1,1,0,0,1,9,0,1,4,0,2,2,0,8,4,0,0,8,2,0,0,0,1,1,0,4,0,0,180,2,1,2,0,0,1,0,0,10,0,0,2,0,0,0,1,1,1,0,1,1,2,10,0,2,0,0,2,1,3,1,3,0,0,4,4,0,0,0,3,1,0,3,2,1,0,0,0,0,0,1,0,0,2,0,1,3,3,0,4,3,0,0,1,0,1,1,0,2,0,0,4,0,0,0,3,0,0,0,0,0,2,0,3,1,0,4,136,0,2,2,0,1,5,2,0,0,0,2,1,0,3,5,0,1,0,0,0,0,1,0,0,3,2,10,0,0,2,0,3,0,0,0,1,0,7,0,0,1,1,0,2,0,4,2,0,1,0,0,1,1,0,3,1,7,4,2,1,1,0,1,0,1,0,16,3,0,0,0,0,1,16,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,9,0,2,1,1,8,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,6,1,0
semisweet chocolate,5,31,0,1,1,1,2,1,1,0,0,0,6,2,11,0,36,0,0,12,2,1,0,1,95,11,0,0,9,0,2,1,1,2,15,0,0,3,0,0,1,0,0,28,0,0,62,2,9,7,0,0,0,4,9,1,0,0,0,31,0,0,1,14,8,4,0,20,0,0,0,1,0,19,0,0,0,0,19,1,1,0,42,20,0,8,62,13,0,0,2,31,6,0,2,0,0,0,0,75,0,0,1,5,0,0,1,2,1,1,0,0,1,0,0,0,2,0,5,0,1,15,0,0,0,0,0,0,0,0,0,0,0,5,21,2,0,4,0,1,0,0,0,0,3,1,0,0,0,6,0,0,54,0,0,13,0,5,9,0,0,2,2,0,6,1,0,0,1,3,1,0,2,0,0,0,24,0,0,0,6,2,0,23,0,1,2,0,0,0,0,1,9,0,0,0,18,1,1,0,0,9,0,0,1,1,1,0,29,0,1,0,7,0,0,2,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,7,9,0,2,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,5,0,0,0,2,0,1,27,2,0,1,0,15,0,4,0,0,7,0,0,0,1,5,0,0,1,2,0,0,0,0,11,1,5,0,0,5,0,0,0,22,0,0,1,2,2,2,0,6,0,0,0,0,0,1,2,0,44,0,11,7,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,4,0,5,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,8,10,0,4,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0
asparagus,3,6,28,6,19,7,5,7,1,7,24,22,0,5,0,4,3,16,10,4,1,18,10,3,6,0,2,10,3,24,27,8,7,7,1,6,18,3,9,10,14,2,16,0,2,7,0,2,0,7,1,13,5,0,5,2,1,7,3,0,0,21,5,1,0,0,2,0,3,3,2,8,9,1,11,3,3,2,1,0,19,0,0,1,5,6,2,3,0,7,18,1,6,3,1,14,1,2,8,0,0,21,1,0,5,3,1,1,4,6,2,5,2,3,24,2,6,1,1,14,1,0,12,3,7,6,6,9,6,3,5,4,3,0,0,2,1,0,2,11,2,1,12,2,5,0,5,5,11,0,5,7,0,8,9,0,0,2,2,6,6,3,0,0,3,1,0,0,2,0,1,5,1,9,10,8,0,13,2,4,5,1,11,0,2,0,1,5,3,1,0,1,2,17,2,0,0,0,0,6,2,0,5,2,0,12,0,11,0,3,5,2,0,6,0,1,0,16,4,3,7,6,6,1,5,0,0,2,2,1,2,8,5,2,0,0,5,0,4,0,0,1,0,4,0,2,1,3,0,6,2,5,1,0,1,2,8,0,1,9,0,0,3,6,0,0,0,3,5,0,3,18,1,0,2,1,1,3,3,0,0,1,1,0,6,0,4,0,2,0,0,12,1,7,0,0,1,4,1,1,2,1,6,0,0,1,0,2,0,0,4,0,2,0,8,1,0,0,0,2,1,0,4,3,7,2,3,0,5,0,0,6,0,0,0,5,1,1,2,4,2,0,2,1,3,0,4,4,3,1,0,1,8,2,13,0,0,1,4,0,0,0,0,7,0,4,1,1,2,2,4,0,1,0,3,2,2,4,2,6,0,4,0,0,1,0,0,4,3,2,1,1,0,1,1,8,7,0,5,0
boneless skinless chicken breast halves,21,3,21,9,5,12,3,25,5,5,8,8,5,3,0,12,1,8,2,2,0,13,7,24,9,0,0,8,2,18,8,0,11,10,0,21,3,7,3,8,8,4,1,0,5,13,0,13,3,18,10,6,16,0,4,9,11,12,10,0,15,9,7,2,0,3,2,0,2,1,10,3,8,9,11,0,5,5,2,3,5,1,0,1,3,1,3,0,0,14,2,0,5,7,10,4,4,8,3,0,0,4,11,4,4,2,5,0,4,2,11,20,9,7,1,7,4,2,3,8,0,0,3,2,3,11,12,4,3,2,2,2,0,0,0,3,3,0,7,13,11,3,1,3,2,0,4,2,4,0,5,1,1,5,2,0,0,1,3,4,11,4,4,0,2,0,1,2,0,1,1,4,0,2,2,4,0,2,2,6,4,2,4,0,3,5,0,0,5,0,0,5,3,0,8,0,0,2,0,6,7,0,1,1,0,0,0,5,0,6,4,5,0,8,2,7,1,3,0,3,5,0,1,1,1,0,6,0,1,1,0,3,8,2,0,5,4,1,3,1,0,2,2,6,1,3,0,8,1,1,10,6,3,3,2,1,0,0,3,2,0,1,3,6,0,1,1,5,2,1,0,6,2,1,0,0,3,0,0,5,0,4,1,3,1,0,0,1,4,3,0,7,6,2,0,0,0,0,2,1,2,1,0,12,0,6,1,6,2,1,0,10,1,1,2,1,0,0,0,3,0,1,0,7,2,3,5,2,2,5,0,3,0,0,1,1,1,6,2,0,5,1,0,0,7,10,0,1,2,0,0,5,2,3,5,0,0,2,0,0,0,1,0,1,0,1,0,5,2,2,0,2,3,0,0,3,5,2,0,1,0,1,2,1,1,0,2,5,2,1,1,0,0,0,1,5,1,0,0,0
allspice,45,19,0,11,10,18,32,9,21,13,5,2,15,25,6,2,6,3,6,8,20,4,23,4,9,23,27,9,13,4,8,2,8,11,6,11,10,3,4,8,4,8,4,4,8,1,6,1,70,3,2,2,2,4,3,2,22,2,2,7,3,0,5,1,3,21,5,19,5,2,5,6,2,29,8,5,14,3,8,31,2,4,7,8,1,9,5,6,2,1,5,11,10,1,2,0,4,8,2,4,5,2,2,3,1,12,10,100,5,7,2,2,9,0,2,13,6,16,6,1,6,1,3,7,1,0,1,1,2,2,6,3,1,4,5,4,2,3,1,2,1,2,0,8,8,0,0,2,0,9,3,8,3,1,1,3,1,3,5,4,3,5,2,1,2,4,3,0,1,0,4,1,4,0,0,0,2,1,3,1,0,9,2,3,2,0,1,0,1,4,4,1,11,2,3,22,1,10,2,0,3,3,0,5,4,5,1,0,2,2,5,3,3,0,4,2,6,0,0,1,1,0,4,1,0,14,5,5,5,7,13,1,2,8,8,5,4,6,2,1,1,5,0,0,4,2,1,0,2,1,0,0,0,3,13,2,0,3,0,0,0,1,1,0,0,3,11,3,2,4,1,0,13,0,0,2,2,25,2,0,0,3,4,0,2,4,1,13,1,0,3,0,2,1,6,0,2,1,1,7,1,2,0,5,2,3,21,2,1,3,4,0,2,2,0,13,1,2,6,1,2,5,1,1,4,1,0,1,2,3,1,2,0,2,0,0,0,1,0,6,0,2,2,1,0,1,0,0,3,3,0,5,0,3,1,2,3,0,2,8,3,4,2,0,3,0,3,1,0,1,1,7,1,0,1,2,1,0,13,0,2,5,3,0,0,0,2,1,2,0,0,0,5,1,2,0,0,4,0,0
jalapenos,3,6,2,17,8,6,13,8,66,16,10,7,1,12,0,24,7,21,11,1,1,11,2,28,2,1,0,5,2,2,2,14,34,6,4,8,6,0,9,7,24,10,13,0,3,1,0,29,3,5,37,7,12,2,4,12,13,2,29,0,8,6,18,1,0,2,3,1,43,15,16,26,2,5,4,3,12,10,1,4,7,9,0,0,19,4,0,1,2,0,4,0,2,2,25,4,7,12,0,0,5,4,17,4,13,11,2,2,8,11,2,0,12,14,1,13,26,5,2,6,7,0,6,9,2,3,0,8,1,7,7,42,4,0,0,1,30,3,3,3,5,7,1,6,2,0,2,9,0,0,7,12,0,6,1,0,21,0,0,8,2,5,2,3,4,0,1,1,1,4,0,6,1,1,4,4,0,1,6,5,0,1,2,0,9,21,0,1,0,3,0,3,0,2,2,0,0,2,0,2,3,1,12,6,0,4,1,4,0,6,1,1,0,1,0,1,0,0,1,3,2,3,2,0,4,2,3,2,0,5,5,2,1,1,0,1,1,1,1,1,0,6,2,3,2,9,2,1,2,0,2,3,0,12,8,0,1,3,3,2,1,2,0,4,0,4,2,0,2,4,5,2,0,3,2,2,0,1,16,19,0,4,5,5,15,0,3,1,0,17,0,3,12,0,16,0,0,1,10,2,2,2,3,0,0,16,0,3,8,0,2,0,4,2,0,1,0,0,0,1,3,3,3,6,2,1,0,0,1,3,0,3,0,0,0,4,0,6,1,0,1,8,4,5,0,2,2,2,0,5,0,1,4,1,2,0,0,7,0,0,1,0,0,4,0,5,2,1,0,3,0,0,2,2,0,1,5,0,6,5,0,0,3,0,1,0,0,2,0,0,1,1,0,7,1,2,1,0,3,0
fish sauce,7,22,20,5,2,2,5,1,3,0,12,61,1,1,0,0,1,25,22,5,0,20,1,97,0,0,0,0,0,6,4,29,0,0,0,16,14,9,19,21,14,2,44,0,1,0,0,0,3,5,0,5,1,11,0,5,1,0,0,0,0,11,4,10,0,0,5,1,53,0,5,12,18,7,0,0,7,2,1,1,3,12,0,2,1,0,0,0,2,0,1,0,3,0,0,16,16,1,0,0,1,18,5,4,10,1,2,1,66,5,0,2,12,0,0,6,8,4,6,55,5,0,0,3,3,3,0,1,0,0,13,47,3,0,0,0,1,0,2,11,0,74,5,12,1,2,11,24,2,0,8,4,2,26,1,0,3,1,0,0,2,2,1,0,0,0,0,5,4,1,6,0,0,1,25,1,0,2,5,6,0,1,1,0,2,1,0,6,0,1,0,1,1,5,1,0,0,2,8,0,9,1,3,0,0,4,1,0,0,3,3,0,0,2,1,12,0,7,8,0,7,8,2,0,2,0,3,5,0,0,23,0,0,1,1,4,0,0,3,0,0,17,0,8,0,5,5,0,2,1,0,0,5,0,14,0,3,12,1,0,0,1,0,0,0,3,0,0,18,7,0,0,1,30,0,1,0,2,4,1,0,1,1,2,2,0,2,0,4,41,1,12,0,2,0,0,3,18,0,5,2,0,29,0,0,15,0,3,2,0,14,0,8,0,11,0,2,0,0,0,5,0,3,25,3,0,0,1,1,16,0,1,0,0,1,1,4,1,0,0,7,5,11,10,0,1,12,38,1,2,0,0,8,0,0,0,0,10,1,0,5,1,0,5,0,0,0,2,1,0,33,0,1,6,0,10,7,1,1,3,0,0,5,0,1,1,0,2,1,14,1,1,0,2,0,0,0,0,0,0
active dry yeast,1,13,10,2,0,0,3,4,0,6,4,4,11,2,4,5,35,1,1,15,97,3,4,1,2,28,2,5,11,0,10,1,1,1,2,1,5,14,5,5,1,2,0,0,0,13,7,1,6,2,0,0,2,297,0,1,2,5,2,9,3,2,1,1,1,9,0,4,0,5,1,3,22,6,5,5,2,0,4,17,0,0,3,5,2,3,4,22,0,0,2,2,14,10,0,2,0,6,0,4,0,0,1,17,1,3,0,0,2,1,2,1,1,1,4,0,2,0,13,2,0,2,0,1,1,1,1,0,6,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,5,1,0,4,0,1,1,1,9,4,0,1,11,3,0,0,180,2,1,0,4,1,0,0,0,3,0,0,0,2,0,0,4,2,0,5,0,0,0,1,2,0,0,1,1,1,3,0,2,2,0,1,0,3,1,1,0,0,4,2,0,0,0,2,1,0,5,0,1,0,0,0,0,1,1,1,0,1,0,4,2,1,0,1,6,1,0,4,2,1,0,0,2,0,0,2,1,0,5,2,0,0,1,1,1,0,0,1,1,2,6,0,0,1,1,0,0,4,4,0,0,1,1,0,0,4,4,0,0,0,0,0,1,0,0,2,1,1,5,2,1,0,0,0,0,0,0,1,0,10,0,0,2,0,0,50,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,13,2,0,1,0,0,0,18,1,0,0,0,0,0,0,1,1,2,0,0,3,1,2,1,0,0,0,0,2,0,1,0,3,0,8,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,3,0,0,0,5,5,1,1
pasta,2,1,33,10,6,9,2,10,3,27,8,11,4,9,0,11,6,7,12,6,0,15,12,1,6,0,1,1,1,28,5,16,23,15,0,6,42,0,30,6,6,8,25,0,7,24,0,3,0,1,5,4,9,1,3,11,2,14,5,0,1,22,1,4,0,0,5,0,0,6,13,4,0,0,7,3,2,9,9,0,2,10,0,0,5,11,7,5,0,9,17,2,0,6,0,12,5,2,27,0,4,4,6,1,2,2,12,2,1,12,12,10,0,17,1,0,5,1,1,4,9,0,9,2,16,10,2,16,6,1,2,2,4,0,0,19,4,0,2,2,2,0,18,3,3,0,10,2,5,0,8,6,0,2,3,0,0,3,5,5,9,3,0,8,1,2,0,9,2,0,1,1,0,0,12,1,0,5,0,1,1,0,16,1,1,0,0,4,2,1,0,1,2,8,6,1,0,0,1,3,2,0,4,0,5,3,0,4,0,1,0,2,0,4,6,2,0,17,1,0,1,1,8,0,3,0,8,7,4,4,1,3,2,0,0,2,2,0,6,0,0,0,4,2,0,1,6,7,5,6,2,9,2,5,1,2,3,7,7,15,0,1,1,4,0,2,2,4,2,0,6,6,0,1,6,2,1,1,2,0,0,0,6,0,1,0,4,0,2,0,0,0,6,3,6,0,5,4,0,0,1,2,0,1,1,0,2,2,1,0,2,14,0,0,5,0,0,0,0,2,5,0,2,1,5,0,5,0,1,2,0,7,0,0,2,3,4,0,0,0,1,0,1,3,4,0,3,0,2,3,0,0,0,4,2,0,0,1,5,1,1,0,0,6,0,1,4,0,1,3,5,0,1,3,0,1,0,5,0,1,0,0,1,0,3,0,0,1,6,3,0,5,3,1,3,3,1,1,0,0
basil leaves,2,2,12,4,18,9,2,1,5,9,23,7,2,5,0,3,3,18,6,5,3,17,10,15,1,0,2,12,2,11,12,10,10,7,9,4,11,4,14,5,10,3,11,0,1,2,1,0,0,6,0,14,5,5,2,7,3,15,2,0,1,43,2,0,0,3,8,0,14,2,2,6,6,4,19,18,4,1,0,0,12,5,1,5,5,4,2,1,6,26,55,0,0,9,2,9,6,5,22,0,3,17,9,2,4,2,6,1,7,8,7,5,1,9,3,2,3,1,1,3,3,0,1,0,7,18,1,13,13,5,2,8,3,0,0,14,6,0,0,2,1,12,3,2,1,2,9,8,5,0,9,7,1,2,1,2,2,2,2,6,4,5,0,3,2,1,0,10,2,0,4,25,3,12,0,4,0,2,2,2,0,1,21,0,0,0,1,1,6,0,1,3,2,3,1,0,0,1,3,1,2,0,13,0,8,3,2,16,0,1,12,8,5,7,2,0,0,2,1,0,0,2,8,1,4,1,2,2,1,1,2,7,8,0,0,0,0,0,4,2,0,5,1,3,1,4,2,16,6,9,1,11,3,9,5,1,3,1,1,18,2,0,0,10,0,4,1,1,1,3,13,22,1,4,3,3,0,2,4,1,0,6,1,4,11,0,2,0,0,11,0,2,3,2,0,0,10,19,1,1,2,1,5,1,2,1,1,9,2,0,3,3,2,1,5,0,1,0,0,2,2,0,3,3,3,2,1,1,7,2,0,22,0,0,1,9,7,2,1,0,4,2,2,1,10,0,2,5,1,3,0,0,3,2,2,0,0,4,2,0,1,0,0,0,1,1,5,0,4,6,4,0,13,2,0,0,1,0,1,4,0,0,2,0,3,0,4,0,3,5,0,2,1,2,4,7,3,2,5,0
red potatoes,2,1,11,12,8,19,9,22,7,12,21,0,1,22,0,13,11,17,2,1,2,5,22,2,8,1,2,21,2,10,7,7,11,4,0,9,8,9,5,14,5,5,5,0,4,11,0,3,1,5,4,21,10,4,14,13,16,2,7,0,5,8,7,1,0,2,22,0,4,7,7,13,1,0,1,0,11,6,5,1,19,12,0,0,20,7,3,0,0,7,2,0,0,14,1,4,4,5,10,0,3,6,0,2,1,12,8,0,1,1,4,4,3,3,22,4,11,6,0,2,19,0,5,11,7,6,5,9,15,1,1,1,2,0,0,2,1,0,0,9,18,4,3,6,2,0,16,0,12,0,5,8,1,2,7,0,4,2,0,13,3,4,5,1,0,2,0,8,4,0,4,1,0,1,4,0,0,8,7,1,1,1,1,0,3,2,1,0,8,7,1,3,2,6,6,0,0,3,0,3,1,0,2,5,0,6,0,0,0,5,0,1,0,8,6,2,1,2,1,3,2,2,3,0,6,1,2,8,11,12,2,5,5,1,2,1,4,1,3,0,0,5,2,0,0,7,1,3,3,8,2,0,0,1,1,0,25,3,2,1,0,4,3,3,0,3,1,9,0,3,3,1,1,0,0,1,4,0,6,0,0,0,4,0,2,0,0,0,1,1,1,0,5,4,0,0,1,0,1,1,5,4,0,1,1,2,0,2,8,0,0,0,1,0,5,1,3,0,0,0,0,0,1,1,4,1,2,7,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,3,3,0,7,5,0,4,3,2,34,0,0,0,5,0,3,0,0,2,0,4,1,0,2,4,2,1,0,0,0,0,0,3,2,2,0,0,0,0,7,0,0,2,0,3,3,1,0,2,1,1,5,0,0,0
